	C:\Users\BTSUser\Desktop\Cooper Jump\Biomechanics_Spring 2024\Emily_CMJ.c3d	C:\Users\BTSUser\Desktop\Cooper Jump\Biomechanics_Spring 2024\Emily_CMJ.c3d
	TIME	FS1_1
	FRAME_NUMBERS	FORCE
	ORIGINAL	ORIGINAL
ITEM	X	Y
587	1.172000	540.452637
588	1.174000	539.930908
589	1.176000	540.452637
590	1.178000	540.202515
591	1.180000	539.680176
592	1.182000	539.946411
593	1.184000	539.686646
594	1.186000	539.947021
595	1.188000	541.239746
596	1.190000	540.453918
597	1.192000	540.726318
598	1.194000	540.460388
599	1.196000	540.714111
600	1.198000	541.511108
601	1.200000	541.239014
602	1.202000	541.245544
603	1.204000	540.462952
604	1.206000	540.977661
605	1.208000	540.454529
606	1.210000	540.972656
607	1.212000	540.197693
608	1.214000	540.973145
609	1.216000	541.500488
610	1.218000	541.246460
611	1.220000	540.981567
612	1.222000	540.203918
613	1.224000	540.454102
614	1.226000	540.720093
615	1.228000	541.237305
616	1.230000	540.729248
617	1.232000	540.726196
618	1.234000	541.502075
619	1.236000	541.245728
620	1.238000	540.991211
621	1.240000	541.776733
622	1.242000	541.775330
623	1.244000	540.479065
624	1.246000	540.994629
625	1.248000	540.988464
626	1.250000	541.256348
627	1.252000	540.486389
628	1.254000	540.490845
629	1.256000	539.959961
630	1.258000	539.958374
631	1.260000	540.218872
632	1.262000	540.213623
633	1.264000	539.956665
634	1.266000	539.708862
635	1.268000	539.186401
636	1.270000	539.967163
637	1.272000	539.703674
638	1.274000	538.668640
639	1.276000	538.402954
640	1.278000	538.924194
641	1.280000	539.192871
642	1.282000	539.191650
643	1.284000	538.142578
644	1.286000	539.711487
645	1.288000	539.700500
646	1.290000	539.440063
647	1.292000	539.705383
648	1.294000	539.447144
649	1.296000	539.434204
650	1.298000	539.180664
651	1.300000	539.452393
652	1.302000	538.918823
653	1.304000	539.454651
654	1.306000	539.959106
655	1.308000	539.441895
656	1.310000	539.951965
657	1.312000	539.437500
658	1.314000	539.444519
659	1.316000	539.179810
660	1.318000	540.228638
661	1.320000	539.171692
662	1.322000	539.426880
663	1.324000	540.219482
664	1.326000	540.479858
665	1.328000	540.737610
666	1.330000	540.733521
667	1.332000	541.260620
668	1.334000	540.743164
669	1.336000	540.738159
670	1.338000	540.734741
671	1.340000	540.473511
672	1.342000	540.216309
673	1.344000	540.742310
674	1.346000	540.747009
675	1.348000	540.749756
676	1.350000	539.975952
677	1.352000	540.486206
678	1.354000	539.968872
679	1.356000	540.218262
680	1.358000	541.527771
681	1.360000	542.049072
682	1.362000	541.279846
683	1.364000	541.281250
684	1.366000	540.743164
685	1.368000	540.490845
686	1.370000	540.745239
687	1.372000	540.220947
688	1.374000	540.738525
689	1.376000	541.260498
690	1.378000	540.740540
691	1.380000	540.223145
692	1.382000	539.959351
693	1.384000	539.952881
694	1.386000	540.729004
695	1.388000	540.464417
696	1.390000	540.215088
697	1.392000	540.464417
698	1.394000	540.466125
699	1.396000	540.728516
700	1.398000	540.994995
701	1.400000	540.208618
702	1.402000	540.735229
703	1.404000	540.478882
704	1.406000	540.202393
705	1.408000	540.998779
706	1.410000	541.518677
707	1.412000	540.194946
708	1.414000	540.737305
709	1.416000	539.955811
710	1.418000	539.435913
711	1.420000	540.728394
712	1.422000	539.949829
713	1.424000	540.213135
714	1.426000	540.209900
715	1.428000	540.207336
716	1.430000	540.740601
717	1.432000	541.004028
718	1.434000	540.739380
719	1.436000	540.999023
720	1.438000	540.225830
721	1.440000	540.995239
722	1.442000	540.737610
723	1.444000	540.473877
724	1.446000	540.740540
725	1.448000	540.471436
726	1.450000	541.252563
727	1.452000	540.472107
728	1.454000	540.479553
729	1.456000	541.005798
730	1.458000	539.694580
731	1.460000	540.215576
732	1.462000	540.484436
733	1.464000	540.992554
734	1.466000	541.516846
735	1.468000	540.998169
736	1.470000	541.792969
737	1.472000	540.218689
738	1.474000	540.991516
739	1.476000	540.991272
740	1.478000	541.255615
741	1.480000	540.482666
742	1.482000	540.997192
743	1.484000	541.521973
744	1.486000	541.520203
745	1.488000	542.036194
746	1.490000	541.774658
747	1.492000	541.256104
748	1.494000	541.792969
749	1.496000	541.265320
750	1.498000	541.516113
751	1.500000	541.264648
752	1.502000	541.522583
753	1.504000	542.308960
754	1.506000	541.013916
755	1.508000	541.533325
756	1.510000	540.750854
757	1.512000	540.749023
758	1.514000	540.251343
759	1.516000	540.489502
760	1.518000	539.461426
761	1.520000	540.495728
762	1.522000	539.710938
763	1.524000	540.770874
764	1.526000	540.488647
765	1.528000	540.496765
766	1.530000	541.280029
767	1.532000	539.972290
768	1.534000	540.248047
769	1.536000	539.710266
770	1.538000	538.921082
771	1.540000	539.980835
772	1.542000	539.976196
